%Lat	Lon	Elevation	Run dist 	Dist -20 km	Uplift rate 	Error 
						
%(deg N)	(deg E)	(m)	(km)	(km)	(mm/yr)	(mm/yr)
44.62778	-124.05472	5.65	457.11	17.32	1.18	0.4
						
44.62556	-124.05694	39.35	456.55	17.14	1.17	0.38
						
44.62528	-124.05778	36.968	456.49	17.07	1	0.38
						
44.62444	-123.72139	52.661	48.21	43.75	0.19	0.45
						
44.62444	-123.20472	70.435	106.2	84.73	0.56	0.48
						
44.62139	-123.935	20.692	15.36	26.8	0.24	0.75
						
44.62139	-123.935	18.921	15.43	26.8	0.84	0.42
						
44.62028	-124.05222	24.652	455.71	17.5	0.33	0.38
						
44.61972	-123.93333	10.748	15.64	26.93	0.83	0.75
						
44.61944	-123.65167	246.375	54.27	49.27	0.41	1.26
						
44.61833	-123.67861	87.478	51.74	47.13	0.5	1.24
						
44.61778	-124.05167	15.792	455.43	17.54	0.56	0.38
						
44.61778	-123.73361	45.591	46.67	42.77	0.38	1.18
						
44.61528	-124.04861	3.266	454.77	17.77	0.93	0.48
						
44.61139	-124.04944	5.487	454.4	17.7	0.88	0.5
						
44.60944	-123.215	71.189	104.31	83.9	0.68	0.5
						
44.60583	-123.485	218.218	71.28	62.47	0.48	0.45
						
44.60472	-123.45194	178.75	73.99	65.09	0.4	1.46
						
44.60361	-123.615	209.817	58.14	52.15	0.48	0.46
						
44.60361	-123.62194	210.704	57.51	51.6	0.69	0.46
						
44.60222	-123.49861	200.43	70.09	61.38	0.7	0.47
						
44.59972	-123.57444	200.922	62.01	55.36	0.04	1.34
						
44.59694	-123.5175	193.984	68.46	59.87	0.43	0.45
						
44.59611	-123.44056	136.403	75.59	65.98	0.33	1.47
						
44.59306	-124.06194	7.13	452.05	16.66	0.75	0.37
						
44.5925	-123.43694	132.572	76.03	66.26	0.44	1.48
						
44.59111	-123.52889	231.426	67.36	58.96	0.45	0.45
						
44.58889	-123.54639	229.635	65.8	57.56	0.79	1.38
						
